video_source,reader_sleep_seconds,reader_flush_proportion,downscale_factor,dilate_kernel_size,movement_threshold,persist_factor,num_opencv_threads,start_datetime,input_duration_seconds,processing_duration_seconds,input_filesize_MB,output_filesize_MB
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-13 01:08:45.632361,600.133333,245.13,1320.890072,56.045444
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-13 01:46:31.377555,598.9,540.08,1264.504246,74.820208
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-12 20:06:21.512745,600.0,645.08,1179.422966,106.44706
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-12 17:29:24.595282,600.4,675.34,1319.24134,162.552738
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-12 16:16:11.852763,600.133333,655.3,1296.294376,120.65815
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-12 12:58:27.330036,600.133333,240.03,1024.980056,57.071364
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-12 21:35:14.219879,600.1,835.69,1013.734438,241.523376
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-12 23:46:09.148024,600.133333,660.52,1320.890072,94.703256
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-12 14:19:41.499556,598.366667,665.19,987.957332,150.475088
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-13 06:29:12.539588,598.633333,650.2,942.772768,110.265694
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-12 21:04:38.732825,600.0,240.04,1179.422966,53.376422
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-12 16:27:07.262636,600.133333,550.09,1296.294376,55.095172
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-12 18:46:07.216092,600.4,240.05,1319.24134,54.17983
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-13 07:05:24.670197,598.633333,240.03,942.772768,54.660046
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-12 19:35:14.386582,600.0,666.03,1179.422966,68.75415
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-12 18:00:45.384181,600.4,610.08,1319.24134,90.663264
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-12 22:13:51.660729,600.1,735.17,1013.734438,380.307648
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-12 14:09:26.373745,598.366667,615.08,987.957332,100.966378
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-13 01:20:56.118628,600.133333,245.04,1320.890072,56.116628
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-12 20:36:27.941829,600.0,240.12,1179.422966,54.097122
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-12 13:02:27.449246,600.133333,240.04,1024.980056,53.267628
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-12 20:44:28.124611,600.0,250.04,1179.422966,53.200258
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-13 02:59:28.316194,598.9,240.04,1264.504246,53.69686
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-12 23:57:09.966830,600.133333,660.92,1320.890072,131.868408
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-12 12:23:10.448082,600.133333,680.09,1024.980056,141.90114
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-13 03:11:58.664770,598.9,260.04,1264.504246,54.93483
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-13 03:24:53.838572,600.066667,565.08,1074.495404,83.669132
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-12 20:17:06.700809,600.0,565.32,1179.422966,65.6576
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-13 02:39:06.386692,598.9,731.71,1264.504246,86.742442
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-12 17:18:39.221260,600.4,645.21,1319.24134,102.194
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-13 03:34:18.925499,600.066667,655.54,1074.495404,126.200926
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-12 16:50:32.567509,600.133333,240.09,1296.294376,51.998216
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-12 17:40:39.938078,600.4,575.08,1319.24134,74.178346
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-12 23:23:35.209372,600.133333,656.17,1320.890072,139.156782
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-12 21:21:13.951206,600.1,840.12,1013.734438,373.12945
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-12 11:30:08.156141,600.133333,637.59,1024.980056,101.47503
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-13 02:55:23.228017,598.9,245.05,1264.504246,56.086558
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-12 15:15:13.609172,598.366667,240.22,987.957332,52.836042
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-12 18:42:07.084040,600.4,240.07,1319.24134,53.072782
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-13 03:03:28.420551,598.9,250.14,1264.504246,54.644984
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-13 02:51:18.030273,598.9,245.19,1264.504246,54.8311
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-13 03:45:14.956469,600.066667,521.03,1074.495404,67.857224
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-13 05:59:07.207381,598.633333,615.09,942.772768,109.80338
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-13 05:26:04.494151,598.633333,675.79,942.772768,168.684866
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-13 05:10:49.289045,600.066667,245.04,1074.495404,52.969934
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-12 20:48:38.220378,600.0,240.11,1179.422966,54.156368
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-13 05:02:34.012445,600.066667,255.05,1074.495404,54.038814
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-12 13:37:08.051838,598.366667,701.59,987.957332,158.351746
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-12 12:02:00.204492,600.133333,655.08,1024.980056,99.26058
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-13 06:52:54.508110,598.633333,265.04,942.772768,58.66627
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-13 01:35:46.283946,598.9,645.08,1264.504246,144.263244
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-13 01:12:50.794661,600.133333,245.17,1320.890072,58.361886
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,63,40,0.75,10,2022-12-12 11:40:44.920259,600.133333,695.1,1024.980056,149.0453
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-13 04:23:36.504054,600.066667,510.18,1074.495404,64.925054
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-12 16:46:32.530763,600.133333,240.03,1296.294376,51.907646
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-12 13:10:27.628334,600.133333,240.04,1024.980056,53.769298
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-12 13:18:27.814963,600.133333,240.04,1024.980056,52.722302
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-13 06:09:22.301730,598.633333,600.07,942.772768,157.309016
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-12 12:34:30.572383,600.133333,570.09,1024.980056,75.226476
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-12 14:58:58.260736,598.366667,240.03,987.957332,53.43194
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-13 04:32:06.815131,600.066667,591.88,1074.495404,78.508968
